3 456 0 
0 456 1 0 
2 884 1 0 
0 1313 1 0 
3 1634 1 0 
2 1956 1 0 
1 2170 1 0 
0 2598 1 0 
3 3027 1 0 
1 3348 1 0 
2 3670 1 0 
3 3884 1 0 
1 4313 1 0 
0 4741 1 0 
3 5063 1 0 
2 5384 1 0 
1 5598 1 0 
0 7313 1 0 
3 7313 1 0 
3 7741 1 0 
0 7741 1 0 
2 8170 1 0 
0 8170 1 0 
0 8491 1 0 
2 8491 1 0 
2 8813 1 0 
3 8813 1 0 
0 9027 1 0 
1 9027 1 0 
1 9456 1 0 
3 9456 1 0 
3 9884 1 0 
1 9884 1 0 
0 10206 1 0 
2 10206 1 0 
2 10527 1 0 
0 10527 1 0 
1 10741 1 0 
3 10741 1 0 
3 11170 1 0 
2 11170 1 0 
3 11598 1 0 
2 11598 1 0 
0 11920 1 0 
1 11920 1 0 
2 12241 1 0 
3 12241 1 0 
0 12456 1 0 
1 12456 1 0 
3 12884 1 0 
2 13313 1 0 
0 13741 1 0 
1 13956 1 0 
2 14170 1 0 
3 14170 1 0 
1 14598 1 0 
2 15027 1 0 
0 15348 1 0 
1 15670 1 0 
0 15884 1 0 
3 15884 1 0 
2 16313 1 0 
1 16741 1 0 
3 17063 1 0 
2 17384 1 0 
1 17598 1 0 
0 17598 1 0 
3 18027 1 0 
2 18456 1 0 
0 18777 1 0 
1 19098 1 0 
0 19313 1 0 
3 19313 1 0 
2 19741 1 0 
2 20170 1 0 
1 20491 1 0 
3 20813 1 0 
0 21027 1 0 
2 21027 1 0 
2 21456 1 0 
0 21456 1 0 
1 21884 1 0 
3 21884 1 0 
3 22206 1 0 
1 22206 1 0 
2 22527 1 0 
3 22527 1 0 
0 22741 1 0 
1 22741 1 0 
2 23170 1 0 
3 23170 1 0 
2 23598 1 0 
3 23598 1 0 
1 23920 1 0 
0 23920 1 0 
1 24241 1 0 
0 24241 1 0 
2 24456 1 0 
3 24456 1 0 
2 24884 1 0 
0 24884 1 0 
0 25313 1 0 
2 25313 1 0 
1 25634 1 0 
3 25634 1 0 
2 25956 1 0 
0 25956 1 0 
1 26170 1 0 
3 26170 1 0 
2 26491 1 0 
1 26813 1 0 
2 27027 1 0 
0 27241 1 0 
1 27456 1 0 
2 27670 1 0 
3 27884 1 0 
0 27884 1 0 
2 28098 1 0 
1 28313 1 0 
0 28313 1 0 
2 28527 1 0 
0 28741 1 0 
3 28741 1 0 
2 29063 1 0 
3 29063 1 0 
1 29384 1 0 
