0 16 0
1 16 1 0
2 16 1 0
3 16 2 373
0 254 1 0
1 373 1 0
2 373 1 0
0 492 2 730
1 730 2 968
0 968 2 1206
3 1206 1 0
1 1206 1 0
2 1325 1 0
3 1444 1 0
0 1444 1 0
1 1444 1 0
3 1682 1 0
2 1801 1 0
0 1920 1 0
1 1920 1 0
0 2158 1 0
1 2277 1 0
3 2277 1 0
2 2277 1 0
3 2635 1 0
2 2754 1 0
1 2873 1 0
3 3111 1 0
2 3111 1 0
0 3230 1 0
1 3349 1 0
3 3349 1 0
2 3349 1 0
3 3587 1 0
2 3706 1 0
1 3825 1 0
0 3825 1 0
1 4063 1 0
0 4182 1 0
2 4182 1 0
3 4182 1 0
2 4539 1 0
1 4658 1 0
0 4777 1 0
1 5015 1 0
3 5015 1 0
2 5135 1 0
0 5254 1 0
1 5254 1 0
3 5254 1 0
0 5492 1 0
1 5611 1 0
3 5730 1 0
2 5730 1 0
3 5968 1 0
0 6087 1 0
1 6087 1 0
2 6087 1 0
1 6444 1 0
2 6563 1 0
3 6682 1 0
0 6920 1 0
1 6920 1 0
3 7039 1 0
0 7158 1 0
1 7158 1 0
2 7158 1 0
0 7396 1 0
1 7396 1 0
2 7515 1 0
0 7635 1 0
1 7635 1 0
3 7635 2 7992
0 7873 1 0
1 7992 1 0
2 7992 1 0
0 8111 2 8349
1 8349 2 8587
0 8587 2 8825
1 8825 1 0
3 8825 1 0
2 8944 1 0
3 9063 1 0
0 9063 1 0
1 9063 1 0
3 9301 1 0
2 9420 1 0
0 9539 1 0
1 9539 1 0
0 9777 1 0
1 9896 1 0
3 9896 1 0
2 9896 1 0
2 10254 1 0
1 10373 1 0
0 10492 1 0
3 10730 1 0
2 10730 1 0
0 10849 1 0
1 10968 1 0
3 10968 1 0
2 10968 1 0
3 11206 1 0
2 11325 1 0
1 11444 1 0
0 11444 1 0
1 11682 1 0
0 11801 1 0
2 11801 1 0
3 11801 1 0
1 12158 1 0
2 12277 1 0
3 12396 1 0
0 12635 1 0
2 12635 1 0
1 12754 1 0
0 12873 1 0
2 12873 1 0
3 12873 1 0
3 13111 1 0
2 13230 1 0
0 13349 2 14301
1 13349 1 0
1 14301 1 0
2 14301 1 0
3 14539 1 0
3 14658 1 0
0 14777 1 0
1 14867 1 0
2 14956 1 0
0 15015 1 0
1 15015 1 0
3 15015 1 0
2 15254 1 0
1 15254 1 0
3 15492 1 0
2 15611 1 0
0 15730 1 0
3 15730 1 0
1 15730 1 0
1 15849 1 0
3 15968 1 0
2 16087 1 0
0 16206 1 0
3 16206 2 16563
1 16444 1 0
2 16563 1 0
0 16682 1 0
1 16682 1 0
3 16682 1 0
2 16920 1 0
2 17039 1 0
0 17158 1 0
3 17158 1 0
1 17277 1 0
2 17396 1 0
1 17515 1 0
0 17635 1 0
2 17635 1 0
3 17635 1 0
3 17754 1 0
2 17873 1 0
1 17992 1 0
3 18111 1 0
0 18111 2 18468
2 18349 1 0
1 18468 1 0
0 18587 1 0
2 18587 1 0
3 18587 1 0
1 18825 1 0
1 18944 1 0
0 19063 1 0
3 19063 1 0
2 19182 1 0
1 19301 1 0
2 19420 1 0
0 19539 1 0
1 19539 1 0
3 19539 1 0
0 19658 1 0
1 19777 1 0
2 19896 1 0
0 20015 1 0
3 20015 2 20373
1 20254 1 0
2 20373 1 0
1 20492 1 0
0 20492 1 0
3 20492 1 0
0 20730 1 0
1 20849 1 0
3 20968 1 0
2 20968 1 0
0 21087 1 0
1 21206 1 0
0 21325 1 0
1 21444 1 0
2 21444 1 0
3 21444 1 0
3 21563 1 0
2 21682 1 0
3 21801 1 0
1 21920 1 0
0 21920 2 22277
2 22039 1 0
3 22158 1 0
1 22277 1 0
2 22396 1 0
3 22396 1 0
0 22515 1 0
1 22575 1 0
2 22635 1 0
2 22754 1 0
1 22873 1 0
3 22873 1 0
0 22873 1 0
2 23111 1 0
1 23230 1 0
0 23349 1 0
2 23349 1 0
3 23349 1 0
1 23587 1 0
2 23706 1 0
0 23825 1 0
1 23825 1 0
3 23825 1 0
2 24063 1 0
1 24182 1 0
0 24301 1 0
2 24301 1 0
3 24301 1 0
1 24539 1 0
2 24658 1 0
0 24777 1 0
1 24777 1 0
3 24777 1 0
0 25015 1 0
1 25135 1 0
0 25254 1 0
2 25254 1 0
3 25254 1 0
1 25373 1 0
3 25492 1 0
2 25611 1 0
0 25730 1 0
1 25730 1 0
3 25730 1 0
2 25849 1 0
0 25968 1 0
1 26087 1 0
2 26206 1 0
3 26206 1 0
0 26444 1 0
2 26682 1 0
3 26682 1 0
1 26682 1 0
3 26801 1 0
0 26920 1 0
1 26920 1 0
0 27039 1 0
2 27039 1 0
3 27039 1 0
1 27158 1 0
2 27277 1 0
3 27277 1 0
0 27396 1 0
1 27396 1 0
3 27396 1 0
2 27515 1 0
1 27635 1 0
0 27635 1 0
3 27754 1 0
0 27754 1 0
2 27754 1 0
1 27873 1 0
2 27992 1 0
0 28111 1 0
1 28111 1 0
3 28111 1 0
3 28230 1 0
0 28349 1 0
0 28468 1 0
3 28587 1 0
2 28587 1 0
1 28617 1 0
0 28646 1 0
3 28825 1 0
0 29063 1 0
1 29093 1 0
2 29123 1 0
0 29301 1 0
3 29539 1 0
2 29569 1 0
1 29599 1 0
3 29777 1 0
0 30015 1 0
1 30075 1 0
3 30135 1 0
2 30194 1 0
0 30254 2 30432
1 30254 1 0
3 30492 1 0
2 30492 1 0
1 30492 1 0
1 30611 1 0
0 30611 1 0
2 30730 2 30908
3 30730 2 30908
2 30968 2 31087
3 30968 2 31087
0 31087 1 0
1 31206 1 0
2 31325 2 31563
3 31325 2 31563
0 31563 1 0
1 31563 1 0
0 31682 2 31861
1 31682 2 31861
0 31920 2 32158
1 31920 2 32158
2 32158 2 32396
3 32158 2 32396
0 32396 1 0
1 32396 1 0
2 32515 1 0
3 32515 1 0
0 32635 2 32932
1 32635 2 32932
2 32873 2 32932
3 32873 2 32932
3 33111 1 0
0 33230 2 33468
1 33230 2 33468
2 33468 1 0
3 33468 1 0
2 33587 2 33765
3 33587 2 33765
3 33825 2 34063
2 33825 2 34063
0 34063 2 34301
1 34063 2 34301
2 34301 1 0
3 34301 1 0
0 34420 1 0
1 34420 1 0
2 34539 2 34718
3 34539 2 34718
2 34777 1 0
3 34777 1 0
1 34896 1 0
0 35015 1 0
1 35135 2 35373
3 35135 2 35373
0 35373 1 0
2 35373 1 0
0 35492 2 35730
2 35492 2 35730
1 35730 2 35968
3 35730 2 35968
0 35968 1 0
2 35968 1 0
1 36087 1 0
2 36206 2 36385
3 36206 2 36385
0 36444 2 36623
1 36444 2 36623
0 36682 1 0
1 36682 1 0
3 36801 1 0
0 36920 1 0
1 37039 2 37218
3 37039 2 37218
0 37277 1 0
2 37277 1 0
0 37396 2 37635
2 37396 2 37635
1 37635 2 37873
3 37635 2 37873
2 37873 2 37992
0 37873 2 37992
0 38111 1 0
1 38111 1 0
3 38111 1 0
2 38230 1 0
1 38349 1 0
0 38587 1 0
2 38587 1 0
3 38587 1 0
0 38706 1 0
1 38825 1 0
3 38944 1 0
1 39063 1 0
2 39063 1 0
0 39063 1 0
3 39182 1 0
3 39301 1 0
2 39539 1 0
1 39539 1 0
3 39539 1 0
0 39777 1 0
0 40015 1 0
3 40015 1 0
2 40015 1 0
1 40135 1 0
2 40254 1 0
0 40492 2 40551:
1 40492 2 40551
3 40492 2 40551
3 40730 1 0
1 40849 1 0
0 40968 1 0
3 40968 1 0
2 40968 1 0
1 41087 1 0
1 41206 1 0
1 41444 1 0
3 41444 1 0
0 41444 1 0
2 41682 1 0
0 41920 1 0
2 41920 1 0
3 41920 1 0
1 42039 1 0
2 42158 1 0
0 42396 1 0
2 42396 1 0
3 42396 1 0
1 42515 1 0
0 42635 1 0
2 42754 1 0
0 42873 1 0
1 42873 1 0
3 42873 1 0
2 42992 1 0
2 43111 1 0
0 43349 1 0
3 43349 1 0
1 43349 1 0
1 43587 1 0
0 43825 1 0
1 43825 1 0
2 43825 1 0
3 43825 1 0
2 44063 1 0
0 44182 1 0
1 44182 1 0
2 44301 1 0
3 44301 1 0
0 44420 1 0
1 44539 0
3 44539 1 0
2 44658 1 0
0 44777 1 0
1 44777 1 0
3 44777 1 0
0 44896 1 0
1 44896 1 0
2 45015 1 0
1 45135 1 0
0 45254 1 0
2 45254 1 0
3 45254 1 0
2 45373 1 0
1 45492 1 0
1 45611 1 0
0 45730 0
2 45730 1 0
3 45730 1 0
0 45849 1 0
1 45849 1 0
2 45968 1 0
3 45968 1 0
3 46087 1 0
0 46206 1 0
1 46206 1 0
2 46206 1 0
0 46325 1 0
3 46444 1 0
0 46563 1 0
2 46563 1 0
1 46682 1 0
2 46801 1 0
3 46801 1 0
2 46920 1 0
3 46920 1 0
0 47039 1 0
2 47158 1 0
3 47158 1 0
1 47158 1 0
0 47277 1 0
1 47277 1 0
3 47396 1 0
2 47456 1 0
1 47515 1 0
0 47575 1 0
2 47635 1 0
3 47635 1 0
0 47754 1 0
1 47754 1 0
0 47873 1 0
3 47873 1 0
2 47992 1 0
0 48111 1 0
1 48111 1 0
3 48111 1 0
3 48230 1 0
0 48349 1 0
1 48468 1 0
2 48468 1 0
3 48587 1 0
2 48706 1 0
0 48706 1 0
1 48825 1 0
3 48825 1 0
2 48944 1 0
1 49063 1 0
3 49063 1 0
0 49063 1 0
0 49182 1 0
1 49182 1 0
3 49301 1 0
2 49361 1 0
0 49420 1 0
1 49480 1 0
2 49539 1 0
3 49539 1 0
1 49658 1 0
0 49658 1 0
2 49777 1 0
3 49777 1 0
0 49896 1 0
1 50015 1 0
2 50015 1 0
3 50015 1 0
2 50135 1 0
0 50254 1 0
1 50373 1 0
3 50373 1 0
2 50492 1 0
0 50611 1 0
1 50611 1 0
3 50730 1 0
2 50730 1 0
1 50849 1 0
2 50968 1 0
3 50968 1 0
0 50968 1 0
0 51087 1 0
1 51087 1 0
3 51206 1 0
2 51265 1 0
1 51325 1 0
0 51385 1 0
2 51444 1 0
3 51444 1 0
0 51563 1 0
1 51563 1 0
3 51682 1 0
0 51682 1 0
2 51801 1 0
3 51920 1 0
0 51920 1 0
1 51920 1 0
3 52039 1 0
1 52158 1 0
0 52158 1 0
3 52277 1 0
2 52277 1 0
1 52396 1 0
0 52515 1 0
3 52515 1 0
2 52515 1 0
3 52635 1 0
2 52635 1 0
0 52754 1 0
1 52754 1 0
3 52873 1 0
2 52873 1 0
0 52873 1 0
2 52992 1 0
3 52992 1 0
0 53111 1 0
1 53170 1 0
2 53230 1 0
3 53289 1 0
0 53349 1 0
1 53349 1 0
0 53468 1 0
1 53468 1 0
2 53587 1 0
3 53587 1 0
3 53706 1 0
0 53825 1 0
1 53825 1 0
2 53825 1 0
1 53944 1 0
3 54063 1 0
0 54182 1 0
2 54182 1 0
1 54301 1 0
2 54420 1 0
3 54420 1 0
0 54539 1 0
1 54539 1 0
3 54658 1 0
1 54777 1 0
2 54777 1 0
0 54777 1 0
2 54896 1 0
3 54896 1 0
0 55015 1 0
1 55075 1 0
2 55135 1 0
3 55194 1 0
0 55254 1 0
1 55254 1 0
2 55373 1 0
3 55373 1 0
0 55492 1 0
3 55492 1 0
1 55611 1 0
0 55730 1 0
3 55730 1 0
2 55730 1 0
0 55849 1 0
2 55968 1 0
1 56087 1 0
0 56087 1 0
3 56206 1 0
0 56325 1 0
2 56325 1 0
3 56444 1 0
1 56444 1 0
2 56563 1 0
0 56682 1 0
1 56682 1 0
3 56682 1 0
2 56801 1 0
3 56801 1 0
0 56920 1 0
1 56980 1 0
3 57039 1 0
2 57099 1 0
0 57158 1 0
1 57158 1 0
0 57277 1 0
1 57277 1 0
2 57396 1 0
3 57396 1 0
3 57515 1 0
0 57635 1 0
1 57635 1 0
2 57635 1 0
1 57754 1 0
3 57873 1 0
0 57992 1 0
2 57992 1 0
1 58111 1 0
2 58230 1 0
3 58230 1 0
2 58349 1 0
3 58349 1 0
0 58468 1 0
1 58587 1 0
3 58587 1 0
2 58587 1 0
0 58706 1 0
1 58706 1 0
3 58825 1 0
2 58885 1 0
1 58944 1 0
0 59004 1 0
2 59063 2859539
3 59063 1 0
0 59301 1 0
3 59301 2 59539
0 59539 1 0
1 59539 1 0
3 59777 1 0
0 59896 1 0
3 60015 1 0
2 60015 1 0
3 60135 1 0
0 60135 1 0
1 60135 1 0
1 60254 2 60432
0 60254 2 60432
0 60492 2 60730
3 60492 2 60730
2 60492 1 0
1 60730 1 0
0 60968 1 0
2 60968 1 0
3 60968 1 0
1 60968 1 0
1 61206 1 0
0 61325 1 0
2 61444 1 0
3 61444 1 0
1 61682 1 0
0 61801 1 0
2 61920 1 0
3 61920 1 0
1 62158 1 0
0 62277 1 0
2 62396 1 0
3 62396 1 0
1 62635 1 0
2 62754 1 0
3 62873 1 0
0 62873 1 0
2 63111 1 0
3 63230 1 0
0 63349 1 0
1 63349 1 0
2 63587 1 0
3 63706 1 0
0 63825 1 0
1 63825 1 0
2 64063 1 0
3 64182 1 0
0 64301 1 0
1 64301 1 0
2 64539 1 0
1 64658 1 0
