3 16 0
0 16 1 0
2 16 1 0
1 492 1 0
2 730 1 0
3 968 2 1206
1 1206 1 0
0 1206 1 0
2 1444 1 0
3 1444 1 0
0 1682 1 0
1 1920 1 0
3 1920 2 2158
2 2158 1 0
1 2277 1 0
0 2277 1 0
3 2635 1 0
0 2873 1 0
3 3111 1 0
2 3111 1 0
1 3349 1 0
0 3349 1 0
2 3587 1 0
3 3825 1 0
0 3825 2 4063
1 4063 1 0
2 4182 1 0
3 4182 1 0
0 4539 1 0
3 4777 1 0
2 5015 1 0
1 5015 1 0
0 5254 1 0
3 5254 1 0
2 5492 1 0
1 5730 2 5968
0 5730 1 0
3 5968 1 0
2 6087 1 0
0 6087 1 0
3 6444 1 0
0 6682 1 0
3 6920 1 0
1 6920 1 0
0 7158 1 0
2 7158 1 0
1 7396 1 0
0 7396 1 0
2 7635 2 8111
3 7635 2 8111
0 8111 1 0
1 8349 1 0
2 8587 1 0
3 8825 1 0
0 8825 1 0
2 9063 1 0
1 9063 1 0
0 9301 1 0
3 9539 1 0
2 9539 2 9777
0 9777 1 0
1 9896 1 0
3 9896 1 0
3 10254 1 0
0 10492 1 0
2 10730 1 0
3 10730 1 0
0 10968 1 0
1 10968 1 0
2 11206 1 0
3 11444 2 11682
0 11444 1 0
1 11682 1 0
0 11801 1 0
2 11801 1 0
3 12158 1 0
0 12396 1 0
3 12635 1 0
1 12635 1 0
0 12873 1 0
2 12873 1 0
3 13111 1 0
0 13349 2 14301
3 14301 1 0
1 14301 1 0
0 14539 2 14658
2 14658 1 0
3 14777 2 15015
1 15015 1 0
0 15015 1 0
3 15254 1 0
2 15254 1 0
0 15492 1 0
1 15611 1 0
2 15730 1 0
3 15730 1 0
2 15968 1 0
1 16087 1 0
3 16206 1 0
0 16206 1 0
1 16444 1 0
2 16563 1 0
3 16682 1 0
0 16682 1 0
3 16920 1 0
2 17039 1 0
1 17158 1 0
0 17158 1 0
3 17396 1 0
0 17515 1 0
3 17635 1 0
2 17635 1 0
0 17873 1 0
3 17992 1 0
1 18111 1 0
0 18111 1 0
2 18349 1 0
1 18468 1 0
0 18587 1 0
3 18587 1 0
1 18825 1 0
2 18944 1 0
3 19063 1 0
0 19063 1 0
2 19301 1 0
0 19420 1 0
1 19539 1 0
3 19539 1 0
1 19777 1 0
3 19896 1 0
2 20015 1 0
0 20015 1 0
0 20254 1 0
1 20373 1 0
2 20492 1 0
3 20492 1 0
3 20730 1 0
2 20849 1 0
1 20968 1 0
0 20968 1 0
2 21206 1 0
1 21325 1 0
3 21444 1 0
2 21444 1 0
1 21682 1 0
2 21801 1 0
1 21920 1 0
0 21920 1 0
0 22158 1 0
1 22277 1 0
2 22396 2 22635
3 22396 2 22635
1 22635 1 0
2 22754 1 0
3 22873 1 0
0 22873 1 0
2 23111 1 0
1 23230 1 0
0 23349 1 0
3 23349 1 0
2 23587 1 0
1 23706 1 0
0 23825 1 0
3 23825 1 0
1 24063 1 0
2 24182 1 0
